Date,Temp,Q,P,E
1/10/2017,-5.8,0.99,0,1.2
1/11/2017,-0.6,0.99,2.4,0.8
1/12/2017,-2.8,0.85,0,0.91
1/13/2017,-3.5,0.85,4.4,1.11
1/14/2017,-5.5,0.85,0,0.86
1/15/2017,-3.8,0.78,0,0.96
1/16/2017,-0.7,0.78,0,0.76
1/17/2017,0.1,0.78,0,0.85
1/18/2017,0.6,0.78,0,1.18
1/19/2017,0,0.85,0,0.96
1/20/2017,-4,0.92,0,1.13
1/21/2017,-2.8,0.92,0,0.83
1/22/2017,-7,0.85,0,0.93
1/23/2017,-5.6,0.85,0,0.82
1/24/2017,-3.5,0.78,0,1.11
1/25/2017,2.4,0.78,0,1.63
1/26/2017,-2.7,0.85,0,0.84
1/27/2017,-7.8,0.78,1.4,0.56
1/28/2017,-9.9,0.78,0.2,0.84
1/29/2017,-9.7,0.71,0,0.73
1/30/2017,-10,0.64,0,0.83
1/31/2017,-11.4,0.64,0,0.7
2/1/2017,-12.7,0.57,0,1.13
2/2/2017,-11,0.57,0,1.08
2/3/2017,-4.7,0.57,0,1.5
2/4/2017,-1.6,0.57,0,1.18
2/5/2017,1.1,0.64,0,1.1
2/6/2017,1.6,0.78,0.6,0.78
2/7/2017,2.4,0.99,0,1.2
2/8/2017,4,1.48,0,1.96
2/9/2017,3.4,1.62,0,1.35
2/10/2017,1.3,1.76,0,1.34
2/11/2017,-1.8,1.9,0,1.07
2/12/2017,-1,1.76,0,0.9
2/13/2017,-4.5,1.62,0,0.9
2/14/2017,-5.7,1.34,0,1.07
2/15/2017,-7.4,1.2,0,0.72
2/16/2017,-6.1,1.13,0,0.93
2/17/2017,-6.3,1.06,0,1.14
2/18/2017,-3.6,0.99,0,1.48
2/19/2017,-0.1,1.06,0,1.43
2/20/2017,-0.1,1.13,0,1.57
2/21/2017,2,1.2,0,1.76
2/22/2017,2.9,1.48,0,1.71
2/23/2017,3.4,1.76,0,1.98
2/24/2017,3.1,2.04,0,1.81
2/25/2017,4.3,2.46,0,1.68
2/26/2017,4.3,2.46,0,1.66
2/27/2017,4.9,2.32,0,1.61
2/28/2017,6.8,2.32,0,2.15
3/1/2017,8.9,2.77,0,2.53
3/2/2017,7.2,3.11,0,2.29
3/3/2017,4.1,8.4,13,1.5
3/4/2017,3.6,6.29,1,0.99
3/5/2017,2,5.38,1.4,1.85
3/6/2017,5.2,4.84,0,2.71
3/7/2017,6.8,4.66,0,2.62
3/8/2017,7.1,4.48,0,2.95
3/9/2017,8.7,4.3,0,3.36
3/10/2017,7.7,5.38,0,2.14
3/11/2017,4.2,5.74,6,1.2
3/12/2017,3,9.6,0.6,0.78
3/13/2017,4.2,12,35,1.83
3/14/2017,2.2,9.2,0,1.25
3/15/2017,-0.5,12.4,4,0.83
3/16/2017,0.4,10.9,0,1.32
3/17/2017,0,10,0.2,1.41
3/18/2017,-2.1,8,2.4,1.43
3/19/2017,0.7,6.1,0.6,2.92
3/20/2017,4,5.2,0,1.66
3/21/2017,5.9,4.3,3.2,2.38
3/22/2017,6.9,3.96,0,2.92
3/23/2017,4.6,3.96,0,3.08
3/24/2017,5.3,3.96,0,3.17
3/25/2017,7,4.13,0,3.73
3/26/2017,9.5,4.13,0,3.35
3/27/2017,8.4,4.3,0,2.94
3/28/2017,5.3,4.3,2.4,1.19
3/29/2017,5.7,4.3,0,3.39
3/30/2017,8.7,4.3,0,3.24
3/31/2017,5.3,4.3,0.8,1.35
4/1/2017,5.6,4.13,6.6,2.29
4/2/2017,5.9,4.13,0.8,1.73
4/3/2017,7.1,4.13,0.2,3.73
4/4/2017,9.8,4.13,0,4.15
4/5/2017,12.5,4.13,0,4.52
4/6/2017,11.9,3.96,0,4.26
4/7/2017,9,3.96,0.6,3.45
4/8/2017,6.5,3.96,0.2,2.94
4/9/2017,1.4,3.96,15.8,1.41
4/10/2017,2.2,3.96,0.4,2.17
4/11/2017,1,3.96,0,3.58
4/12/2017,8.8,4.06,0,2.8
4/13/2017,8.2,5.45,1.4,1.42
4/14/2017,7.9,7.2,2.4,1.68
4/15/2017,7.6,11.8,40.4,1.92
4/16/2017,9,11.8,1.4,3.57
4/17/2017,9.9,10.6,0,4.28
4/18/2017,9.9,10.6,0,3.73
4/19/2017,9.5,7.8,0,3.56
4/20/2017,10.8,5.72,0.4,4.57
4/21/2017,12.2,8.4,0,3.9
4/22/2017,12.1,9,0,5.91
4/23/2017,12.5,9.4,0,6.42
4/24/2017,4.5,7.8,0,3.86
4/25/2017,7.3,6.3,0,4.36
4/26/2017,9.5,5.45,0,5
4/27/2017,12.1,5.45,0,5.12
4/28/2017,13.5,5.45,0,4.9
4/29/2017,14.4,5.45,0,4.93
4/30/2017,15.7,5.17,0,6.29
5/1/2017,14.3,5.17,0,2.89
5/2/2017,11.7,5.45,0,3.28
5/3/2017,12,5.45,0,3.22
5/4/2017,11.7,4.89,0,2.54
5/5/2017,14.2,4.89,0,4.1
5/6/2017,13.2,4.89,0.4,3.76
5/7/2017,10.1,4.89,0.4,2.72
5/8/2017,13.6,3.78,1,5.14
5/9/2017,15.7,4.62,4.2,4.22
5/10/2017,19.9,5.17,0,8.31
5/11/2017,14.5,5.72,0,5.34
5/12/2017,14.8,5.72,0,5.92
5/13/2017,18.4,5.17,0,6.8
5/14/2017,21.7,4.89,0,8.31
5/15/2017,16.1,4.89,0,5.97
5/16/2017,13.5,4.62,0,5.3
5/17/2017,14.1,3.78,0,5.24
5/18/2017,14.3,3.51,0.2,3.55
5/19/2017,12.8,3.51,0,4
5/20/2017,8.8,4.06,3.4,0.98
5/21/2017,11.3,4.34,13.6,4.57
5/22/2017,9.2,3.51,0,2.2
5/23/2017,8.3,3.51,7,1.61
5/24/2017,10.9,3.23,1.6,3.46
5/25/2017,12.2,2.94,0,4.19
5/26/2017,12.6,2.8,0.2,3.76
5/27/2017,11.1,3.09,9,3.24
5/28/2017,11.2,4.34,10.2,4.03
5/29/2017,13.7,4.06,2.6,5.33
5/30/2017,13.1,3.78,0,4.33
5/31/2017,12.4,3.51,1.4,3.29
6/1/2017,12.7,3.51,3.8,3.34
6/2/2017,15.1,3.09,1.6,4.56
6/3/2017,17.2,2.8,0,4.85
6/4/2017,17.4,2.8,0,4.45
6/5/2017,16.7,2.8,0.6,5.76
6/6/2017,16.2,2.66,0,5.85
6/7/2017,18.6,2.23,0,6.54
6/8/2017,20.6,2.37,0,6.87
6/9/2017,21.4,2.23,0,7.57
6/10/2017,17.2,2.09,0,5.02
6/11/2017,17.2,1.8,0,5.68
6/12/2017,18.8,1.6,0,6.52
6/13/2017,19.1,1.4,0,6.05
6/14/2017,14.7,1.4,2.2,2.98
6/15/2017,16.9,1.3,0.2,5.16
6/16/2017,17.6,1.22,0,5.64
6/17/2017,17,1.07,0,4.7
6/18/2017,17.7,1.07,1.6,4.66
6/19/2017,16.6,0.988,0,4.95
6/20/2017,13,1.22,5.8,1.99
6/21/2017,12.7,1.22,0,3.09
6/22/2017,16.2,1.22,3.4,4.07
6/23/2017,17.5,1.14,0,4.58
6/24/2017,19.5,0.988,0,6.76
6/25/2017,21.1,0.858,0,6.99
6/26/2017,22.1,0.806,0,7.09
6/27/2017,23.8,0.754,0,7.57
6/28/2017,24.6,0.65,0,7.81
6/29/2017,24.2,0.558,0,7.88
6/30/2017,23,0.558,0,8.41
7/1/2017,24.7,0.466,0,7.84
7/2/2017,26.1,0.42,0,8.01
7/3/2017,26.9,0.466,0,7.8
7/4/2017,26.8,0.42,0,8.41
7/5/2017,23.4,0.42,0,6.73
7/6/2017,23.4,0.42,0,7.53
7/7/2017,20.6,0.42,0,6.9
7/8/2017,20.2,0.466,0,6.68
7/9/2017,21.3,0.42,0,7.16
7/10/2017,23.2,0.466,0,7.8
7/11/2017,23.1,0.466,0,7.7
7/12/2017,23.8,0.512,0,7.62
7/13/2017,23.3,0.466,0,7.68
7/14/2017,23.6,0.466,0,7.93
7/15/2017,24.3,0.42,0,7.53
7/16/2017,24.1,0.38,0,6.47
7/17/2017,24.8,0.38,1,6.88
7/18/2017,24.8,0.38,0,6.92
7/19/2017,22.5,0.38,0,6.34
7/20/2017,23.5,0.38,0,6.12
7/21/2017,24.5,0.3,0,7.04
7/22/2017,24.8,0.3,0,7.67
7/23/2017,24.4,0.34,0,7.78
7/24/2017,23.1,0.34,0,7.27
7/25/2017,22.8,0.466,0,7.26
7/26/2017,24.9,0.34,0,8
7/27/2017,26.4,0.34,0,7.87
7/28/2017,23.9,0.34,0,6.5
7/29/2017,20.9,0.3,0,7.13
7/30/2017,22.3,0.3,0,6.63
7/31/2017,22.8,0.26,0,7.24
8/1/2017,22.5,0.26,0,7.28
8/2/2017,24.7,0.26,0,6.98
8/3/2017,23.7,0.26,0,5.87
8/4/2017,19,0.3,0,3.94
8/5/2017,19.2,0.26,0.8,5.57
8/6/2017,21.8,0.22,0,6.06
8/7/2017,22.8,0.22,0,6.81
8/8/2017,24.9,0.22,0,7.5
8/9/2017,27.3,0.22,0,7.97
8/10/2017,25.7,0.18,0,6.94
8/11/2017,25.2,0.22,0,8.23
8/12/2017,25,0.18,0,6.42
8/13/2017,24.6,0.22,0,6.5
8/14/2017,24.4,0.22,0,6.38
8/15/2017,23.8,0.22,0,6.58
8/16/2017,23.2,0.22,0,5.51
8/17/2017,23.5,0.22,0,5.66
8/18/2017,22.7,0.22,0,4.61
8/19/2017,21.6,0.22,0,4.39
8/20/2017,22.3,0.22,16,5.21
8/21/2017,21.8,0.22,0,4.77
8/22/2017,21.4,0.26,0,5.02
8/23/2017,20.5,0.26,0,5.41
8/24/2017,21.1,0.26,0,5.9
8/25/2017,21.2,0.22,0,6.1
8/26/2017,19.3,0.22,0,5.74
8/27/2017,20.3,0.22,0,5.56
8/28/2017,20.2,0.26,0,5.77
8/29/2017,20.5,0.26,0,6.06
8/30/2017,21.4,0.26,0,5.8
8/31/2017,18.8,0.22,0,4.33
9/1/2017,19.4,0.26,0,4.94
9/2/2017,20.6,0.3,0,6.38
9/3/2017,21.1,0.3,0,6.08
9/4/2017,22.8,0.3,0,6.3
9/5/2017,23.4,0.26,0,5.8
9/6/2017,20,0.3,0,4.87
9/7/2017,15.7,0.3,0,5.37
9/8/2017,17.6,0.3,0,5.49
9/9/2017,21.3,0.3,0,6.11
9/10/2017,21.8,0.3,0,6.14
9/11/2017,22.3,0.26,0,5.94
9/12/2017,23.9,0.26,0,6.18
9/13/2017,24.2,0.22,0,5.56
9/14/2017,23.8,0.26,0,5.63
9/15/2017,23.4,0.26,0,6.45
9/16/2017,25.3,0.26,0,6.36
9/17/2017,25.6,0.22,0,6.45
9/18/2017,24.8,0.22,0,6.31
9/19/2017,23.3,0.22,0,5.74
9/20/2017,22.1,0.26,0,5.9
9/21/2017,23.8,0.26,0,5.9
9/22/2017,20,0.26,0,4.28
9/23/2017,16.4,0.34,0,4.19
9/24/2017,15.9,0.34,0,4.46
9/25/2017,17,0.34,0,4.52
9/26/2017,19,0.42,0,3.71
9/27/2017,17.1,0.42,0,3.94
9/28/2017,16.4,0.42,0,4.3
9/29/2017,16.6,0.42,0,3.41
9/30/2017,15.1,0.466,0,2.75
10/1/2017,13.05972917,0.512,0,2.7
10/2/2017,10.87402778,0.558,0,2.47
10/3/2017,10.00066667,0.558,0,2.69
10/4/2017,9.9540625,0.558,0,3.39
10/5/2017,9.685097222,0.558,0,3.53
10/6/2017,11.31366667,0.558,0,3.66
10/7/2017,13.88952083,0.558,0,4.09
10/8/2017,15.85777778,0.558,0,4.63
10/9/2017,12.25861111,0.604,0,2.63
10/10/2017,9.539569444,0.604,0,2.08
10/11/2017,9.143701389,0.604,0,2.59
10/12/2017,9.861083333,0.604,0,2.96
10/13/2017,9.984229167,0.604,0,3.13
10/14/2017,9.895819444,0.604,0,3.31
10/15/2017,9.668034722,0.604,0,3.1
10/16/2017,9.345881944,0.558,0,2.17
10/17/2017,10.14328472,0.558,0,3.12
10/18/2017,10.99009028,0.558,0,3.08
10/19/2017,11.79160417,0.604,0,3.12
10/20/2017,12.31672917,0.604,0,3.67
10/21/2017,12.36636111,0.65,0,3.36
10/22/2017,12.55776389,0.604,0,3.12
10/23/2017,12.10242361,0.512,0,3.23
10/24/2017,14.10402778,0.466,0,4.42
10/25/2017,12.17020833,0.466,0,2.44
10/26/2017,10.56845833,0.466,0,2.06
10/27/2017,9.888395833,0.466,0,2.33
10/28/2017,12.08784722,0.42,0,3.47
10/29/2017,8.87175,0.42,0.508,2
10/30/2017,7.730083333,0.466,0,1.81
10/31/2017,6.152076389,0.466,0,1.8
11/1/2017,2.962833333,0.466,0,1.47
11/2/2017,2.768486111,0.512,0,1.86
11/3/2017,5.118583333,0.512,0,2.1
11/4/2017,5.913916667,0.466,0,1.43
11/5/2017,4.590673611,0.754,31.24,1.28
11/6/2017,5.164645833,0.754,0,1.33
11/7/2017,5.965291667,0.558,0,1.43
11/8/2017,5.642277778,0.558,0,1.29
11/9/2017,5.061027778,0.558,0,1.23
11/10/2017,7.1704375,0.558,0,1.21
11/11/2017,6.408756944,0.558,0,0.96
11/12/2017,6.811673611,0.512,0,1.35
11/13/2017,8.243027778,0.512,0,1.67
11/14/2017,10.09338889,0.512,0,1.9
11/15/2017,8.482826389,0.512,0,1.37
11/16/2017,7.990972222,0.512,0,1.37
11/17/2017,8.642972222,0.512,0,1.81
11/18/2017,8.907590278,0.512,0,2.15
11/19/2017,9.195388889,0.512,0,2.43
11/20/2017,5.361972222,0.512,0,1.31
11/21/2017,-0.014020833,0.558,6.35,0.99
11/22/2017,-4.092041667,0.558,2.032,0.94
11/23/2017,0.334590278,0.558,0,1.15
11/24/2017,1.695361111,0.558,0,0.99
11/25/2017,1.6083125,0.558,0,0.9
11/26/2017,2.885145833,0.558,0,1.11
11/27/2017,3.585041667,0.558,0,1.24
11/28/2017,4.487534722,0.558,0.254,1.05
11/29/2017,3.999152778,0.558,1.778,0.98
11/30/2017,2.6389375,0.558,0,0.98
12/1/2017,4.506458333,0.604,0,1.16
12/2/2017,6.798763889,0.604,0,1.41
12/3/2017,9.223305556,0.604,0,1.62
12/4/2017,8.326006944,0.604,0,1.74
12/5/2017,4.395659722,0.604,6.858,1.56
12/6/2017,-3.732340278,0.65,0.508,0.54
12/7/2017,-5.787090278,0.65,1.27,0.82
12/8/2017,-1.934631944,0.604,0,0.83
12/9/2017,0.07475,0.65,0,0.94
12/10/2017,0.701743056,0.65,0,1.02
12/11/2017,3.713368056,0.604,0,1.08
12/12/2017,7.443479167,0.604,0,1.44
12/13/2017,7.310125,0.604,0,1.78
12/14/2017,4.507736111,0.604,0,1.19
12/15/2017,3.779708333,0.604,0,1
12/16/2017,4.135458333,0.604,0,0.83
12/17/2017,5.054423611,0.604,0.254,0.86
12/18/2017,5.451270833,0.604,0,1.02
12/19/2017,5.354784722,0.604,2.54,0.82
12/20/2017,5.774826389,0.65,5.842,0.84
12/21/2017,5.638881944,0.65,0,1.14
12/22/2017,7.569555556,0.604,1.778,1.58
12/23/2017,9.914326389,0.604,0.254,3.02
12/24/2017,-1.873625,0.65,0,0.48
12/25/2017,-1.652125,0.65,2.286,0.4
12/26/2017,4.296791667,0.65,0,0.78
12/27/2017,5.953979167,0.65,0,1.14
12/28/2017,3.881194444,0.604,0,1.5
12/29/2017,4.558965278,0.604,0,1.99
12/30/2017,3.026229167,0.604,0.254,1.05
12/31/2017,1.049541667,0.65,4.826,0.5
1/1/2018,-0.159090278,0.858,7.112,0.67
1/2/2018,1.600027778,0.806,0,1.1
1/3/2018,2.778625,0.754,4.064,1.19
1/4/2018,0.06875,1.14,14.99,0.2
1/5/2018,0.250104167,1.07,4.064,0.5
1/6/2018,0.864791667,1.07,2.794,0.67
1/7/2018,1.600944444,0.988,0,0.98
1/8/2018,3.512416667,0.91,0,1.28
1/9/2018,4.228576389,0.858,0,1.68
1/10/2018,2.418729167,0.858,0,1.1
1/11/2018,4.036722222,0.806,0,1.82
1/12/2018,2.399173611,0.858,0,0.96
1/13/2018,1.853430556,0.806,0,1.08
1/14/2018,0.540756944,0.806,2.54,0.3
1/15/2018,-1.82525,0.806,0,0.41
1/16/2018,-1.072513889,0.806,0,0.89
1/17/2018,0.084875,0.806,0,0.75
1/18/2018,1.293215278,0.806,1.27,1.71
1/19/2018,-6.677215278,0.91,1.27,0.58
1/20/2018,-2.980069444,0.858,6.096,0.85
1/21/2018,0.113638889,0.858,0,0.75
1/22/2018,0.74375,0.91,3.81,1.2
1/23/2018,-0.957909722,1.8,16.76,0.45
1/24/2018,-2.830534722,1.3,0,0.41
1/25/2018,-5.620430556,1.14,3.556,0.31
1/26/2018,-5.455951389,1.07,2.54,0.24
1/27/2018,-4.8811875,0.988,2.794,0.21
1/28/2018,-5.057583333,0.91,1.778,0.31
1/29/2018,-6.9418125,0.91,0.254,0.69
1/30/2018,-2.00525,0.91,2.54,0.87
1/31/2018,0.899881944,0.988,0.254,1.27
2/1/2018,-0.703951389,1.22,0,1.04
2/2/2018,-0.236736111,1.3,0,1.16
2/3/2018,2.596770833,1.3,0.508,1.05
2/4/2018,3.311979167,1.5,0,0.92
2/5/2018,5.611611111,1.7,0,1.58
2/6/2018,3.64325,1.7,0,1.42
2/7/2018,4.187645833,1.6,0,1.48
2/8/2018,6.793861111,1.6,0,1.72
2/9/2018,6.008409722,1.6,0,1.72
2/10/2018,5.988958333,1.7,0,1.84
2/11/2018,11.31515972,1.94,0,4.63
2/12/2018,4.554756944,2.09,0,1.51
2/13/2018,1.734444444,1.8,3.302,1.15
2/14/2018,1.851847222,1.6,0,1.34
2/15/2018,3.440861111,1.5,0.254,1.69
2/16/2018,3.797034722,1.4,0,1.65
2/17/2018,4.441215278,1.3,0,1.23
2/18/2018,1.155895833,1.3,0,1.39
2/19/2018,3.486930556,1.22,0,2.09
2/20/2018,3.768875,1.22,0.762,1.74
2/21/2018,3.679006944,1.14,0,1.55
2/22/2018,3.707458333,1.14,0,1.51
2/23/2018,3.983951389,1.14,0,2.02
2/24/2018,4.290548611,1.14,0,2.05
2/25/2018,1.746715278,1.14,6.35,1.37
2/26/2018,0.935173611,1.14,0.254,1.16
2/27/2018,3.324895833,1.22,2.54,1.89
2/28/2018,3.902173611,1.14,0.508,2.49
3/1/2018,1.787305556,1.07,0.254,1.02
3/2/2018,3.598652778,1.07,0,2.25
3/3/2018,5.704152778,0.988,0,1.84
3/4/2018,5.602375,0.988,0,1.22
3/5/2018,7.147729167,0.988,0,2.27
3/6/2018,7.534965278,1.07,4.826,2.69
3/7/2018,8.510673611,1.07,0,2.65
3/8/2018,9.1499375,1.07,4.318,3.53
3/9/2018,2.934701389,1.6,5.334,1.32
3/10/2018,4.438722222,1.5,0,1.87
3/11/2018,6.506055556,1.5,0,2.7
3/12/2018,8.062465278,1.4,0,2.56
3/13/2018,6.950951389,1.3,0,2.54
3/14/2018,6.479083333,1.3,0,2.65
3/15/2018,4.857194444,1.3,2.032,2.04
3/16/2018,2.1071875,1.4,4.318,1.87
3/17/2018,7.366208333,1.3,0,3.38
3/18/2018,10.3273125,1.22,0,3.48
3/19/2018,12.30245139,1.22,0,4.9
3/20/2018,12.35850694,1.22,0,4.27
3/21/2018,8.984041667,1.22,0,3.6
3/22/2018,10.41897917,1.22,0,3.67
3/23/2018,17.39284722,1.14,0,7.39
3/24/2018,11.62604167,1.22,0,5.39
3/25/2018,5.4505625,1.22,0,2.47
3/26/2018,8.223388889,1.14,0,3.46
3/27/2018,11.96772917,1.14,0,5.5
3/28/2018,10.96919444,1.14,0.508,4.03
3/29/2018,8.336777778,6.3,20.57,3.59
3/30/2018,2.4955,6,0,0.95
3/31/2018,6.378756944,4.62,0,3.11
4/1/2018,9.516395833,3.51,0,3.56
4/2/2018,7.013395833,3.09,0,3.79
4/3/2018,5.218347222,2.8,0,3.46
4/4/2018,6.718868056,2.52,0,3.95
4/5/2018,10.6098125,2.37,0,4.27
4/6/2018,12.66176389,2.09,0,4.76
4/7/2018,13.96715278,2.09,0,5.41
4/8/2018,11.94811111,2.09,3.302,4.12
4/9/2018,8.266611111,2.37,23.62,2.47
4/10/2018,6.742277778,6.3,12.19,2.4
4/11/2018,9.901465278,5.17,0.508,2.99
4/12/2018,11.47695833,4.89,2.286,2.96
4/13/2018,12.86347222,4.34,0.762,3.92
4/14/2018,13.440625,4.06,0,3.47
4/15/2018,11.655125,3.78,0,4.47
4/16/2018,11.06483333,3.23,0,4.69
4/17/2018,13.01152778,3.09,0,5
4/18/2018,15.64715278,2.94,0,5.15
4/19/2018,15.36715278,2.8,0,5.19
4/20/2018,9.432944444,2.8,5.334,2.48
4/21/2018,4.185569444,2.8,2.54,1.42
4/22/2018,5.587236111,2.66,0,3.61
4/23/2018,11.58657639,2.37,0,4.55
4/24/2018,13.25326389,2.23,0,4.4
4/25/2018,13.90174648,2.09,0,4.95
4/26/2018,14.94763889,2.09,0,4.96
4/27/2018,13.27451389,2.09,0,3.2
4/28/2018,14.73090278,2.09,0,5.13
4/29/2018,14.97173611,1.8,0,5.36
4/30/2018,14.76215278,1.8,0,4.18
5/1/2018,14.97583333,1.7,0,4.97
5/2/2018,12.91180556,1.7,0.254,4.13
5/3/2018,13.19477083,1.7,1.778,3.78
5/4/2018,16.57055556,1.6,0,5.48
5/5/2018,13.99888889,1.6,1.778,3.22
5/6/2018,13.57590278,1.5,0,5.37
5/7/2018,10.30056944,1.5,0.762,3.03
5/8/2018,9.282125,1.5,0.508,3.37
5/9/2018,9.706,1.5,9.65,2.48
5/10/2018,10.75104167,1.6,3.556,3.41
5/11/2018,9.66375,1.8,6.096,2.2
5/12/2018,9.283465278,2.09,15.24,2
5/13/2018,9.946472222,2.37,4.826,2.98
5/14/2018,12.16467361,2.52,0,4.93
5/15/2018,14.23541667,2.37,0,5.32
5/16/2018,15.96430556,1.94,0,5.32
5/17/2018,17.96291667,1.8,0,5.8
5/18/2018,17.18652778,1.7,2.032,5.05
5/19/2018,15.73006944,1.6,18.29,3.82
5/20/2018,15.17104167,2.66,30.48,3.86
5/21/2018,16.54618056,2.8,0,4.88
5/22/2018,17.06590278,2.37,0,5.02
5/23/2018,17.11826389,2.23,0,5.7
5/24/2018,18.37979167,1.94,0,6.21
5/25/2018,16.13319444,1.7,0,5.34
5/26/2018,14.32819444,1.6,0,4.68
5/27/2018,16.2575,1.4,0,6.51
5/28/2018,17.67868056,1.3,2.286,6.22
5/29/2018,13.33944444,1.7,4.318,3.06
5/30/2018,12.94395833,1.94,23.88,3.13
5/31/2018,12.37625,2.94,26.92,2.38
6/1/2018,12.051875,4.34,0.762,2.45
6/2/2018,12.45784722,6.6,14.48,2.49
6/3/2018,15.32479167,7.2,0,4.86
6/4/2018,16.16597222,4.34,0,4.54
6/5/2018,17.06590278,3.51,0,6.06
6/6/2018,17.49722222,3.09,0,5.05
6/7/2018,18.92229167,2.8,0,6.87
6/8/2018,19.88513889,2.37,0,6.66
6/9/2018,19.84569444,1.94,0,7.09
6/10/2018,20.55895833,1.5,0,6.39
6/11/2018,17.25194444,1.7,9.4,4.3
6/12/2018,16.90944444,1.7,2.032,4.44
6/13/2018,17.36986111,1.6,0,4.83
6/14/2018,17.97909722,1.5,0,6.21
6/15/2018,17.50972222,1.4,0.762,4.31
6/16/2018,16.15708333,1.4,1.524,2.06
6/17/2018,15.35756944,1.3,4.572,1.32
6/18/2018,14.13930556,1.6,4.572,0.66
6/19/2018,15.45513889,1.8,0.254,1.17
6/20/2018,15.98958333,1.7,0,1.21
6/21/2018,17.13444444,1.5,2.54,1.8
6/22/2018,17.404375,1.14,0,2.24
6/23/2018,18.53770833,0.91,0,3.03
6/24/2018,17.74347222,0.858,0,2.14
6/25/2018,18.43125,0.858,1.524,3.13
6/26/2018,19.63354167,0.858,0,5.79
